date,customerId,paymentPeriod,loanAmount,currencyType,evaluationChannel,interest_rate
2022-09-12,CUS52022903724,24,10000,USD,WEB PAGE,0.395
2022-09-12,CUS41333428524,24,67000,USD,AGENCY,0.395
2022-09-12,CUS30910915648,48,8000,USD,WEB PAGE,0.4
2022-09-12,CUS78525445936,36,9500,USD,WEB PAGE,0.209
2022-09-12,CUS55024264560,60,15000,USD,WEB PAGE,0.39
2022-09-12,CUS71211623724,24,24215.94,USD,AGENCY,0.395
2022-09-12,CUS23754037360,60,20000,USD,WEB PAGE,0.395
2022-09-12,CUS97575324512,12,10000,USD,WEB PAGE,0.39
2022-09-12,CUS80644042636,36,8200,USD,WEB PAGE,0.295
2022-09-12,CUS98061533424,24,32000,USD,WEB PAGE,0.235
2022-09-12,CUS29348685548,48,40000,USD,WEB PAGE,0.39
2022-09-12,CUS58370141936,36,1856.64,USD,AGENCY,0.339
2022-09-12,CUS69388897524,24,29400,USD,AGENCY,0.39
2022-09-12,CUS92163855236,36,25700,USD,WEB PAGE,0.265
2022-09-12,CUS24201810060,60,16200,USD,WEB PAGE,0.38
2022-09-12,CUS34274818112,12,21000,USD,WEB PAGE,0.39
2022-09-12,CUS34198552260,60,90600,USD,WEB PAGE,0.235
2022-09-12,CUS85722056436,36,4500,USD,WEB PAGE,0.315
2022-09-12,CUS84580440424,24,35000,USD,WEB PAGE,0.199
2022-09-12,CUS68409568836,36,5000,USD,WEB PAGE,0.27
2022-09-12,CUS94709585048,48,76000,USD,WEB PAGE,0.37
2022-09-12,CUS93196492812,12,60000,USD,AGENCY,0.85
2022-09-12,CUS18194340024,24,80000,USD,AGENCY,0.255
2022-09-12,CUS89089869448,48,17600,USD,WEB PAGE,0.255
2022-09-12,CUS87621179060,60,44100,USD,WEB PAGE,0.35
2022-09-12,CUS71881560336,36,70000,USD,WEB PAGE,0.35
2022-09-12,CUS47210404136,36,35100,USD,WEB PAGE,0.275
2022-09-12,CUS34974034548,48,50000,USD,AGENCY,0.395
2022-09-12,CUS72026093512,12,7000,USD,WEB PAGE,0.32
2022-09-12,CUS37623433760,60,30100,USD,AGENCY,0.35
2022-09-12,CUS42210170924,24,10000,USD,WEB PAGE,0.4
2022-09-12,CUS84107326636,36,29250,USD,WEB PAGE,0.199
2022-09-12,CUS55565111560,60,27500,USD,WEB PAGE,0.29
2022-09-12,CUS75291727048,48,23249,USD,WEB PAGE,0.169
2022-09-12,CUS22165777936,36,50000,USD,AGENCY,0.225
2022-09-12,CUS68712744936,36,70000,USD,CONTACT CENTER,0.225
2022-09-12,CUS33442953324,24,17460,USD,WEB PAGE,0.295
2022-09-12,CUS68889120848,48,16000,USD,WEB PAGE,0.265
2022-09-12,CUS40948177936,36,140000,USD,WEB PAGE,0.189
2022-09-12,CUS22808215948,48,80000,USD,AGENCY,0.12
