date,customerId,paymentPeriod,loanAmount,currencyType,evaluationChannel,interest_rate
2022-09-10,CUS50595231748,48,26900,USD,WEB PAGE,0.335
2022-09-10,CUS41095949824,24,6000,USD,AGENCY,0.4
2022-09-10,CUS77289220724,24,67000,USD,AGENCY,0.395
2022-09-10,CUS55697703960,60,8500,USD,WEB PAGE,0.395
2022-09-10,CUS91382780948,48,9589.94,USD,WEB PAGE,0.395
2022-09-10,CUS36947218124,24,24261,USD,WEB PAGE,0.395
2022-09-10,CUS15964882412,12,8000,USD,AGENCY,0.85
2022-09-10,CUS26768799060,60,31900,USD,WEB PAGE,0.395
2022-09-10,CUS41482828460,60,7600,USD,WEB PAGE,0.395
2022-09-10,CUS86644713624,24,8424,USD,WEB PAGE,0.275
2022-09-10,CUS18553885024,24,85000,USD,AGENCY,0.375
2022-09-10,CUS99303985336,36,10000,USD,WEB PAGE,0.375
2022-09-10,CUS42551969148,48,55100,USD,WEB PAGE,0.35
2022-09-10,CUS55761056324,24,63900,USD,AGENCY,0.395
2022-09-10,CUS11341685648,48,43000,USD,WEB PAGE,0.35
2022-09-10,CUS55429722860,60,19500,USD,WEB PAGE,0.35
2022-09-10,CUS43029339648,48,33700,USD,WEB PAGE,0.35
2022-09-10,CUS96966287260,60,65000,USD,WEB PAGE,0.395
2022-09-10,CUS54383397336,36,17000,USD,AGENCY,0.235
2022-09-10,CUS61363880324,24,1000,USD,WEB PAGE,0.299
2022-09-10,CUS24086580724,24,50000,USD,AGENCY,0.35
2022-09-10,CUS97543566636,36,18900,USD,WEB PAGE,0.275
2022-09-10,CUS78841250924,24,90600,USD,WEB PAGE,0.36
2022-09-10,CUS35984920648,48,76000,USD,WEB PAGE,0.37
2022-09-10,CUS14848261836,36,11000,USD,WEB PAGE,0.349
2022-09-10,CUS42283414136,36,9300,USD,WEB PAGE,0.245
2022-09-10,CUS47646753012,12,277.73,USD,AGENCY,0.85
