date,customerId,monthly_salary,health_score,current_debt,category
2022-09-12,CUS52022903724,3568,190,,SILVER
2022-09-12,CUS41333428524,13587,208,,BRONZE
2022-09-12,CUS30910915648,1315,212,,BRONZE
2022-09-12,CUS78525445936,6007,213,43497.8,SILVER
2022-09-12,CUS55024264560,10503,217,63194.55,SILVER
2022-09-12,CUS71211623724,5292,226,16892.22,BRONZE
2022-09-12,CUS23754037360,3262,231,,SILVER
2022-09-12,CUS97575324512,7817,242,1240.08,BRONZE
2022-09-12,CUS80644042636,3410,254,2664.81,SILVER
2022-09-12,CUS98061533424,5547,260,17130.09,SILVER
2022-09-12,CUS29348685548,9921,267,55607.32,SILVER
2022-09-12,CUS58370141936,1330,269,9203.73,
2022-09-12,CUS69388897524,4850,269,,SILVER
2022-09-12,CUS92163855236,4250,269,,BRONZE
2022-09-12,CUS24201810060,5805,270,103422.97,BRONZE
2022-09-12,CUS34274818112,13316,271,29714.4,SILVER
2022-09-12,CUS34198552260,13848,271,389970.04,SILVER
2022-09-12,CUS85722056436,2380,272,7820.09,
2022-09-12,CUS84580440424,6039,274,,BRONZE
2022-09-12,CUS68409568836,5458,276,410508.48,SILVER
2022-09-12,CUS94709585048,23281,276,21352.05,SILVER
2022-09-12,CUS93196492812,3802,276,921.64,SILVER
2022-09-12,CUS18194340024,4199,276,123011.4,SILVER
2022-09-12,CUS89089869448,14481,277,442819.48,
2022-09-12,CUS87621179060,9050,282,170073.84,BRONZE
2022-09-12,CUS71881560336,28080,282,1109.58,SILVER
2022-09-12,CUS47210404136,5603,284,,
2022-09-12,CUS34974034548,6058,284,,SILVER
2022-09-12,CUS72026093512,3984,286,,BRONZE
2022-09-12,CUS37623433760,4210,286,,SILVER
2022-09-12,CUS42210170924,4126,287,2533.8,SILVER
2022-09-12,CUS84107326636,7135,287,67537.92,BRONZE
2022-09-12,CUS55565111560,8426,288,264279.4,SILVER
2022-09-12,CUS75291727048,5878,288,50134.74,
2022-09-12,CUS22165777936,6698,288,66050.5,SILVER
2022-09-12,CUS68712744936,6698,288,66050.5,SILVER
2022-09-12,CUS33442953324,2122,289,4758.98,
2022-09-12,CUS68889120848,8675,291,145393.74,
2022-09-12,CUS40948177936,2812,292,,SILVER
2022-09-12,CUS22808215948,10343,294,93866.15,SILVER
2022-09-12,CUS97413102848,7612,294,120246.18,
2022-09-12,CUS29344581724,5781,296,31918.44,
2022-09-12,CUS12157406548,3136,296,2703.35,BRONZE
2022-09-12,CUS34194458748,6294,296,78755.58,SILVER
2022-09-12,CUS45690940236,5427,299,84972.99,BRONZE
2022-09-12,CUS96217546924,3119,299,,SILVER
2022-09-12,CUS37231369048,6036,299,20677.84,BRONZE
2022-09-12,CUS15679784324,4723,300,16989.68,SILVER
2022-09-12,CUS62562820948,4723,302,99004.86,
2022-09-12,CUS72052097524,3160,305,,
2022-09-12,CUS45024486560,10965,305,536116.14,SILVER
2022-09-12,CUS78104969524,6113,305,8845.16,SILVER
2022-09-12,CUS91527319460,5271,305,179117.91,SILVER
2022-09-12,CUS56287516436,26114,306,273322.15,SILVER
2022-09-12,CUS62196633460,6467,306,55361.6,BRONZE
2022-09-12,CUS25983758436,11187,306,,SILVER
2022-09-12,CUS19446609048,3898,306,43659.86,BRONZE
2022-09-12,CUS17342288348,8094,307,,BRONZE
2022-09-12,CUS14000642812,5278,307,7705.11,
2022-09-12,CUS82788974248,5000,308,,BRONZE
2022-09-12,CUS91581188248,7418,309,85253.14,
2022-09-12,CUS84361242948,5013,310,50995.21,SILVER
2022-09-12,CUS80340573936,8258,310,94870.83,SILVER
2022-09-12,CUS49439187936,6972,311,243212.35,SILVER
2022-09-12,CUS84732506848,3331,311,8943.79,SILVER
2022-09-12,CUS64108682636,11768,312,100299.38,
2022-09-12,CUS23337200536,11603,313,73790.23,
2022-09-12,CUS95851912048,7929,313,145935.26,GOLD
2022-09-12,CUS77853612236,7950,313,18154.12,
2022-09-12,CUS11358086660,4456,313,79293.12,SILVER
2022-09-12,CUS82393702448,13769,314,124157.56,SILVER
2022-09-12,CUS88942610136,17889,314,82600.2,
2022-09-12,CUS25211724848,9117,315,200261.76,SILVER
2022-09-12,CUS72078158436,6033,315,101206.05,
2022-09-12,CUS14846642036,5600,315,,BRONZE
2022-09-12,CUS87653012936,4966,315,85952.43,SILVER
2022-09-12,CUS28567429912,6657,316,91477.32,SILVER
2022-09-12,CUS11821450036,3243,316,,SILVER
2022-09-12,CUS65468511648,5909,316,93056.8,BRONZE
2022-09-12,CUS53001246924,8817,316,96011.7,
2022-09-12,CUS88128330436,7254,318,81772.92,SILVER
2022-09-12,CUS28324937460,6136,319,33572.54,
2022-09-12,CUS16634211736,5130,319,1387.75,
2022-09-12,CUS34165290736,13784,320,134586.68,
2022-09-12,CUS75875917024,8323,321,2000,
2022-09-12,CUS97883516724,5837,321,120692.97,
2022-09-12,CUS35803348512,7028,321,32442.93,
2022-09-12,CUS69900757360,6722,321,123908.96,SILVER
2022-09-12,CUS77227740936,37218,321,53180.76,SILVER
2022-09-12,CUS53089934736,8971,321,135907.65,SILVER
2022-09-12,CUS15774322760,6590,322,70138.95,SILVER
2022-09-12,CUS63259289348,4731,322,114612.33,
2022-09-12,CUS52052043648,4893,323,36091.71,SILVER
2022-09-12,CUS95376665524,10954,324,240299.24,SILVER
2022-09-12,CUS48758008924,6964,324,59754.49,
2022-09-12,CUS13856602524,34105,324,674420.76,SILVER
2022-09-12,CUS39072409136,5815,324,64011.14,BRONZE
2022-09-12,CUS64119715748,15766,325,314464.62,BRONZE
2022-09-12,CUS22040662936,6297,325,43542.02,BRONZE
2022-09-12,CUS55092285036,33750,326,250006.98,SILVER
2022-09-12,CUS59737013748,33750,326,250006.98,SILVER
2022-09-12,CUS22927022948,5495,326,16679.92,SILVER
2022-09-12,CUS77808786048,8581,326,195018.24,SILVER
2022-09-12,CUS56301274348,6204,326,37741.48,SILVER
2022-09-12,CUS25497256860,3239,327,,BRONZE
2022-09-12,CUS36472008160,13194,327,202712.2,SILVER
2022-09-12,CUS44953480124,6760,327,100526.86,BRONZE
2022-09-12,CUS27236786624,6760,327,100526.86,BRONZE
2022-09-12,CUS73650412848,6358,327,78606.12,SILVER
2022-09-12,CUS91435161960,4345,327,84510.4,SILVER
2022-09-12,CUS66865743848,7092,327,58.49,SILVER
2022-09-12,CUS53446410448,5477,328,,BRONZE
2022-09-12,CUS19738463848,9199,328,62216.02,BRONZE
2022-09-12,CUS13504482336,3667,328,1658.33,SILVER
2022-09-12,CUS90429043548,7956,329,13297.55,
2022-09-12,CUS78871828124,4991,329,30834.16,SILVER
2022-09-12,CUS94959577148,9478,329,90773.5,SILVER
2022-09-12,CUS18644056936,4388,330,,
2022-09-12,CUS34781920948,14735,330,43723.74,SILVER
2022-09-12,CUS21978201224,4752,330,47469.42,GOLD
2022-09-12,CUS58899220724,8533,330,194865.6,
2022-09-12,CUS76088498912,6682,330,58643.55,
2022-09-12,CUS21174243948,7234,330,56089.49,SILVER
2022-09-12,CUS78209753224,6682,330,58643.55,BRONZE
2022-09-12,CUS14437145260,12503,331,60910.76,BRONZE
2022-09-12,CUS11240038260,6616,332,150515.1,SILVER
2022-09-12,CUS45607648948,13722,333,44220.69,SILVER
2022-09-12,CUS37102449424,12706,334,72000,
2022-09-12,CUS38182580760,7142,334,65851.43,SILVER
2022-09-12,CUS95747566436,3128,334,36530.82,
2022-09-12,CUS17199404348,6150,334,42760.32,BRONZE
2022-09-12,CUS15067862860,5809,334,44161.78,SILVER
2022-09-12,CUS56346170612,9207,334,61299.76,SILVER
2022-09-12,CUS57386832736,3420,334,11354.49,
2022-09-12,CUS75900216836,6634,335,68175.96,
2022-09-12,CUS95413777612,12086,335,120590.64,SILVER
2022-09-12,CUS32390107536,4745,335,19319.62,SILVER
2022-09-12,CUS21035923248,6084,335,36849.09,SILVER
2022-09-12,CUS23126794536,8548,336,16133.67,
2022-09-12,CUS99248635724,6045,336,14837.97,
2022-09-12,CUS93214832312,5199,337,9000,SILVER
2022-09-12,CUS24257528160,6816,337,9745.14,
2022-09-12,CUS74438653824,5156,337,12485.3,SILVER
2022-09-12,CUS26620470048,17049,337,5990.13,SILVER
2022-09-12,CUS33385998536,5917,337,10672.26,SILVER
2022-09-12,CUS60488479724,9037,338,,
2022-09-12,CUS56073487860,5031,338,19528.97,BRONZE
2022-09-12,CUS69619939760,4154,338,34726.22,SILVER
2022-09-12,CUS48751196160,3844,338,79577.79,SILVER
2022-09-12,CUS63637044536,6390,338,97387.23,SILVER
2022-09-12,CUS16446877748,5563,339,35730.28,SILVER
2022-09-12,CUS11286070060,4550,339,4582.08,
2022-09-12,CUS23683879860,5745,339,28557.92,SILVER
2022-09-12,CUS78824017460,5986,339,53580.61,
2022-09-12,CUS73354944760,7437,339,16648.75,
2022-09-12,CUS17256370260,21436,339,103.9,SILVER
2022-09-12,CUS67721078436,7680,339,75758.6,GOLD
2022-09-12,CUS40827853760,5006,339,10571.04,BRONZE
2022-09-12,CUS78470779424,5895,339,992.06,SILVER
2022-09-12,CUS49326396460,22960,340,550011.65,SILVER
2022-09-12,CUS90006109836,11905,340,166020.15,
2022-09-12,CUS34618496736,11861,340,50203.22,SILVER
2022-09-12,CUS85332491036,8229,340,123837.76,BRONZE
2022-09-12,CUS60856746612,4791,340,33106.4,
2022-09-12,CUS15289097648,9752,340,277712.61,BRONZE
2022-09-12,CUS98859808648,9752,340,277712.61,BRONZE
2022-09-12,CUS91047461436,7178,341,65104.45,
2022-09-12,CUS31222721348,5147,342,86095.83,BRONZE
2022-09-12,CUS23033824448,5108,342,42059.01,SILVER
2022-09-12,CUS94287264360,26141,343,418502.31,SILVER
2022-09-12,CUS67052220260,7962,343,51059.18,SILVER
2022-09-12,CUS22512327936,10404,343,544165.48,SILVER
2022-09-12,CUS74863280424,11408,343,68466.58,
2022-09-12,CUS43860202660,12024,343,124649.01,SILVER
2022-09-12,CUS99305190236,9418,343,7895.52,SILVER
2022-09-12,CUS73338721648,10428,343,70093.7,BRONZE
2022-09-12,CUS30098175960,10428,343,70093.7,BRONZE
2022-09-12,CUS85725213836,9062,344,190220.46,
2022-09-12,CUS59899203760,4566,344,48313.43,
2022-09-12,CUS82458774260,5438,344,100404.21,BRONZE
2022-09-12,CUS16713037024,17290,344,140366.48,GOLD
2022-09-12,CUS47463360336,7159,345,263166.19,
2022-09-12,CUS97621773036,7405,345,36721.65,
2022-09-12,CUS17563978724,7101,345,37814.28,SILVER
2022-09-12,CUS17668313160,2793,346,0.15,SILVER
2022-09-12,CUS87490810736,2816,346,917.5,SILVER
2022-09-12,CUS46443158712,11090,346,89122.24,
2022-09-12,CUS34970662224,9939,346,,SILVER
2022-09-12,CUS98365315448,13094,346,,BRONZE
2022-09-12,CUS56123832436,7013,346,64660.42,SILVER
2022-09-12,CUS78640562348,8407,346,353844.88,BRONZE
2022-09-12,CUS94204693048,8407,346,353844.88,BRONZE
2022-09-12,CUS62469848660,8407,346,353844.88,
2022-09-12,CUS31795414036,2755,347,3141.42,SILVER
2022-09-12,CUS91702573960,11846,347,38488.68,GOLD
2022-09-12,CUS24459869436,9234,347,13804.62,SILVER
2022-09-12,CUS34963870624,13229,347,338947.36,BRONZE
2022-09-12,CUS99161454960,6502,348,61649.16,
