date,customerId,monthly_salary,health_score,current_debt,category
2022-09-11,CUS18766457760,6164,147,68170.36,SILVER
2022-09-11,CUS27709604012,8477,159,210.5,BRONZE
2022-09-11,CUS81140191348,4029,228,,BRONZE
2022-09-11,CUS16619880324,16253,239,178020,SILVER
2022-09-11,CUS54929228624,11176,250,20860.9,BRONZE
2022-09-11,CUS73263584824,5297,252,6390.2,SILVER
2022-09-11,CUS90232550836,4667,260,16456.02,
2022-09-11,CUS60674696848,12512,261,197207.4,SILVER
2022-09-11,CUS18981568736,3890,261,32633.7,BRONZE
2022-09-11,CUS87951992448,5480,266,24599.4,SILVER
2022-09-11,CUS21772458760,6875,267,25696.11,BRONZE
2022-09-11,CUS25933866924,1080,267,10602.5,SILVER
2022-09-11,CUS63785774624,1080,267,10602.5,SILVER
2022-09-11,CUS28240253436,7587,268,8017.52,BRONZE
2022-09-11,CUS87813449924,4850,269,,SILVER
2022-09-11,CUS60397016524,6326,270,200527.7,SILVER
2022-09-11,CUS87211222824,5642,273,5596.17,BRONZE
2022-09-11,CUS82611082336,7384,274,458758.48,
2022-09-11,CUS70396793924,3351,276,55586.72,BRONZE
2022-09-11,CUS52520673536,8356,281,11420.25,SILVER
2022-09-11,CUS48590732624,4066,283,4818,
2022-09-11,CUS35201697124,2382,283,3986.26,BRONZE
2022-09-11,CUS57348368160,7760,284,138768.86,
2022-09-11,CUS44549782636,6926,284,67181.9,SILVER
2022-09-11,CUS90703135448,4112,287,,SILVER
2022-09-11,CUS52600522436,4827,288,2737.4,SILVER
2022-09-11,CUS69820375336,6698,288,66050.5,SILVER
2022-09-11,CUS42089591624,5250,290,2497.47,
2022-09-11,CUS71665312424,5682,292,16466.92,SILVER
2022-09-11,CUS97408236436,5682,292,16466.92,SILVER
2022-09-11,CUS44290105336,6837,294,116350.8,BRONZE
2022-09-11,CUS31364058436,27078,297,159179.61,
2022-09-11,CUS89293287660,20350,297,50839.4,
2022-09-11,CUS60153433324,6081,298,5589.94,SILVER
2022-09-11,CUS30433461624,6081,298,5589.94,SILVER
2022-09-11,CUS68189172036,5006,299,12565.31,SILVER
2022-09-11,CUS80428044160,7606,299,142565.91,BRONZE
2022-09-11,CUS99319096336,12525,299,124285.04,SILVER
2022-09-11,CUS59056606012,13196,300,5761.3,
2022-09-11,CUS36788726524,3490,301,52319.92,SILVER
2022-09-11,CUS32053717160,22200,301,488022.5,SILVER
2022-09-11,CUS32182178024,6482,301,130839.44,
2022-09-11,CUS37444725348,7862,301,35761.76,SILVER
2022-09-11,CUS41465861460,13858,302,462803.2,SILVER
